,Unnamed: 0,name,KIDS_ID,RA,DEC,mag,mag_err,zphot,z_min,z_max,score,rms,probability,s*p/10,num_0,GAMA_ID,Z,STELLAR_MASS,f_dm,theta_e_Ang_slide,D1,D2,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,R,prob,error,type
4,4,LRG_131.8457_0.8238.fits.png,KiDSDR4 J084722.967+004925.69,131.845697,0.8238040000000001,18.4457,0.00244875,0.48,0.45,0.5,4.0,2.6830000000000003,0.87,0.348,1.0,278496,0.3061000108718872,186300006400.0,0.5751276730760339,1.4140663536822062,891.2198508831833,1782.4397017663666,0.30608004331588745,12.5718412399292,40,0.3846258521080017,3.2065427303314213,46,2.936025857925415,2.936025857925415,1.092137098312378,1.0,39.617835998535156,PG + ELG
6,6,LRG_140.57001_-0.327.fits.png,KiDSDR4 J092216.803-001937.22,140.570014,-0.327006,18.7952,0.00558118,0.49,0.46,0.51,2.0,2.7569999999999997,0.76,0.152,3.0,205110,0.3772000074386597,195400007680.0,0.5778201949387939,1.3551178481099488,1024.3373182162702,2048.6746364325404,0.3772914111614227,10.421356201171877,40,0.44214770197868347,3.207053899765014,47,2.8484773635864262,2.8484773635864262,1.1258835792541504,1.0,53.04415512084961,PG + ELG
7,7,LRG_183.14553_0.1318.fits.png,KiDSDR4 J121234.927+000754.48,183.145531,0.1318,16.7311,0.00188037,0.25,0.22,0.27,5.4,3.4989999999999997,1.0,0.54,1.0,71118,0.1835000067949295,280999985152.0,0.5983318186044128,2.1657443877863165,606.1700518447554,1212.340103689511,0.1835867166519165,9.899928092956543,40,0.7582283616065979,3.4266610145568848,43,3.171119213104248,3.171119213104248,1.0805840492248535,0.9999998211860656,48.46474838256836,PG + ELG
12,12,galaxy_175.30418_0.2697.fits.png,KiDSDR4 J114113.002+001610.81,175.304178,0.26966999999999997,18.8349,0.00533503,0.6,0.55,0.62,4.0,2.6830000000000003,1.0,0.4,1.0,609353,0.3847000002861023,94930001920.0,0.5370624536554395,0.8963837517995077,1037.201502051431,2074.4030041028614,0.38473808765411377,8.941431999206543,42,0.4805364608764648,3.1281633377075195,45,2.8784296512603764,2.8784296512603764,1.086760401725769,0.9999996423721312,45.06787872314453,PG + ELG
13,13,LRG_178.25068_-1.162.fits.png,KiDSDR4 J115300.162-010943.30,178.250678,-1.162029,18.6057,0.00396283,0.48,0.45,0.5,4.0,2.6830000000000003,0.833,0.33299999999999996,1.0,31088,0.2680999934673309,94919999488.0,0.5370565045363523,1.0136377306436284,811.0249394880246,1622.0498789760493,0.2680577337741852,12.11531925201416,40,0.4036245346069336,2.7325475215911865,47,2.518208265304565,2.518208265304565,1.0851157903671265,1.0,38.74341583251953,PG + ELG
21,21,galaxy_214.20758_1.6395.fits.png,KiDSDR4 J141649.819+013822.23,214.207581,1.6395099999999998,19.209,0.00586216,0.58,0.54,0.6,4.0,2.6830000000000003,0.9990000000000001,0.4,1.0,238425,0.4336999952793121,150300000256.0,0.5630046675724613,1.1190557359688853,1116.217307285268,2232.434614570536,0.4337293207645416,9.895118713378906,40,0.7735416889190674,3.502363681793213,47,3.3574118614196777,3.3574118614196777,1.0431736707687378,0.999999225139618,43.04782485961914,PG + ELG
22,22,galaxy_217.6782_0.7445.fits.png,KiDSDR4 J143042.767+004440.22,217.678198,0.744506,18.9703,0.00523834,0.41,0.37,0.44,4.0,2.6830000000000003,0.998,0.39899999999999997,1.0,16104,0.2865999937057495,85319999488.0,0.5310366097422582,0.9321786148022078,850.9100179563901,1701.8200359127802,0.28655707836151123,11.283794403076172,40,0.8489437699317932,4.249801158905028,43,2.733905553817749,2.733905553817749,1.5544798374176023,1.0,37.65459060668945,PG + ELG
25,25,galaxy_212.5992_1.6108.fits.png,KiDSDR4 J141023.808+013638.82,212.59920400000001,1.6107850000000001,18.5188,0.00276297,0.22,0.19,0.24,2.6,2.577,0.9840000000000001,0.256,2.0,237852,0.17890000343322754,32700000256.0,0.4768912082878348,0.6540538186193963,593.8800960514986,1187.7601921029973,0.17891857028007507,7.79545259475708,40,0.2336133420467377,3.828641653060913,47,3.575936317443848,3.575936317443848,1.070668339729309,0.9995901584625244,54.53248977661133,PG + ELG
32,32,LRG_214.50005_2.6637.fits.png,KiDSDR4 J141800.011+023949.18,214.500046,2.663662,18.9243,0.00511382,0.47,0.44,0.49,1.2,1.47,0.774,0.09300000000000001,3.0,362314,0.3671999871730805,244599996416.0,0.5904993380237801,1.5527561908189211,1006.8512269269162,2013.7024538538324,0.3671972751617432,7.7925896644592285,40,0.3835118710994721,4.9562530517578125,47,3.8532660007476807,3.8532660007476807,1.2862473726272583,0.9957813024520874,58.424476623535156,PG + ELG
1,1,galaxy_136.28057_-0.175.fits.png,KiDSDR4 J090507.336-001029.85,136.28056999999998,-0.17496,19.5882,0.00988238,0.71,0.67,0.73,8.2,1.47,1.0,0.82,0.0,915066,0.494599997997284,231100006400.0,0.5872939944758195,1.3752675789240754,1203.2469332978728,2406.4938665957457,0.4946211278438568,6.533443927764893,40,0.026035215705633163,3.4473257064819336,47,3.049896717071533,3.049896717071533,1.130308985710144,0.9990379810333252,57.1491584777832,ELG + PG
